guest,designation,desc
Dr. Sunil Rai,"Chancellor, UPES","Dr. Sunil Rai is the Chancellor of UPES at Dehra Dun, Uttarakhand, shaping the institution's future."
Anirban Bhattacharya,"Vice President, Seth Anandram Jaipuria School","Anirban Bhattacharya serves as the Vice President/Head of Franchise Schools at Seth Anandram Jaipuria School, expanding educational opportunities."
Sharmila Singh,"Principal, Pioneer Montessori Inter College","Sharmila Singh is the Principal of Pioneer Montessori Inter College in Lucknow, nurturing young learners."
Naghma Irfan,"Principal, Senior Secondary School Girls AMU","Naghma Irfan is the Principal of Senior Secondary School Girls AMU Aligarh, empowering young women through education."
Dr. Mala Mehra,"Director, Hoerner College","Dr. Mala Mehra is the Principal/Director at Hoerner College, Lucknow, guiding the institution with her leadership."
Brajesh Shrivastava,"Director, The Oriental School","Brajesh Shrivastava is the Director of The Oriental School Bhopal, providing comprehensive education."
Roli Tripathi,"Principal, Amity International School","Roli Tripathi is the Principal of Amity International School, Vrindavan Yojna Campus, Lucknow, fostering a love for learning."
Dr. Anupriya Dayal,"Principal, Navyug Public Schoolw","Dr. Anupriya Dayal is the Principal of Navyug Public School, Alambagh Lucknow, creating a positive learning environment."
Farah Kazmi,"Principal, Pioneer Montessori School","Farah Kazmi is the Principal of Pioneer Montessori School Jankipuram Branch Lucknow, building a strong foundation for young minds."
Dr. Rina Pathak,"Principal, Seth M.R Jaipuria School","Dr. Rina Pathak is the Principal of Seth M.R Jaipuria School GOEL Campus, Lucknow, committed to academic excellence."
Anurita Bakshi,"Founder, Armadale Education","Anurita Bakshi is the Founder of Armadale Education and MD of Kombat Creed Championship, leading in education and sports."
Geetika Kapoor,"Principal, St. Teresa's College","Geetika Kapoor is the Principal of St. Teresa's College, Lucknow, dedicated to quality education."
Dr. Ruchi Seth,"Principal, Allenhouse Public School","Dr. Ruchi Seth is the Principal of Allenhouse Public School, Khalasi Lines Kanpur, creating a dynamic learning environment."
Rachna Mishra,"Principal, Amity International School","Rachna Mishra is the Principal of Amity International School, Lucknow, fostering holistic development."
Dr. Aparajita Gupta,"Principal, Lucknow Public School","Dr. Aparajita Gupta is the Principal of Lucknow Public School, committed to shaping future leaders."
Prof. Vivek Mishra,"Dean, Sri Sharda Group of Institutions","Prof. Vivek Mishra is the Founder Dean of Sri Sharda Group of Institutions Lucknow, contributing to higher education."
Dr. Richa Prakash,"Principal, Delhi Public School","Dr. Richa Prakash is the Principal of Delhi Public School, Kalyanpur, Kanpur, focused on academic and personal growth."
Pooja Lamba,"Principal, Adani GEMS School of Excellence","Pooja Lamba is the Principal of Adani GEMS School of Excellence, Lucknow SCR, promoting excellence in education."
